subject	predicate	object	evidence_class
HRA temp-emsn229	HRA has_marker_component	HGNC 9609	HRA bn-d244dd12e4b57bd1a0bad5d0163b6b9f
HRA temp-emsn229	HRA has_marker_component	HGNC 1409	HRA bn-d244dd12e4b57bd1a0bad5d0163b6b9f
HRA temp-emsn229	HRA has_marker_component	HGNC 7000	HRA bn-d244dd12e4b57bd1a0bad5d0163b6b9f
HRA temp-dlit137	HRA has_marker_component	HGNC 53062	HRA bn-8cc8589503fa80833936946a1e309ade
CL 0009018	HRA has_marker_component	HGNC 6008	HRA bn-faa1a0190419f8444e373fe2ff2f6da
CL 0009018	HRA has_marker_component	HGNC 1678	HRA bn-faa1a0190419f8444e373fe2ff2f6da
CL 0009018	HRA has_marker_component	HGNC 6106	HRA bn-faa1a0190419f8444e373fe2ff2f6da
HRA temp-cbi299	HRA has_marker_component	HGNC 28867	HRA bn-4dd72dcfc46d1bfaf29a7f1f75941573
HRA temp-cbi299	HRA has_marker_component	HGNC 11051	HRA bn-4dd72dcfc46d1bfaf29a7f1f75941573
HRA temp-cbi299	HRA has_marker_component	HGNC 21184	HRA bn-4dd72dcfc46d1bfaf29a7f1f75941573
PCL 0015017	HRA has_marker_component	HGNC 26545	HRA bn-91ba3bdfbcd4aefde8fe3568dabd8bff
PCL 0015017	HRA has_marker_component	HGNC 3819	HRA bn-91ba3bdfbcd4aefde8fe3568dabd8bff
PCL 0015017	HRA has_marker_component	HGNC 23317	HRA bn-91ba3bdfbcd4aefde8fe3568dabd8bff
HRA temp-secretory-epithelial-cell	HRA has_marker_component	HGNC 8622	HRA bn-86a9bd663c6d90f7f8210a83278291c2
CL 4033010	HRA has_marker_component	HGNC 4027	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 1929	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 1437	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 738	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 4605	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 11529	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 1757	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 1748	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 3318	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 4033010	HRA has_marker_component	HGNC 8008	HRA bn-2c5cc7c799217fe6f89459b8172615e4
CL 0000499	HRA has_marker_component	HGNC 130	HRA bn-aaf512d6f936f1d68e56cc673441b73c
CL 0000499	HRA has_marker_component	HGNC 6765	HRA bn-aaf512d6f936f1d68e56cc673441b73c
CL 0000499	HRA has_marker_component	HGNC 7809	HRA bn-aaf512d6f936f1d68e56cc673441b73c
CL 0000499	HRA has_marker_component	HGNC 6446	HRA bn-aaf512d6f936f1d68e56cc673441b73c
LMHA 00142	HRA has_marker_component	HGNC 15467	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 20771	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 11529	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 12371	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 3816	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 3318	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 1748	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 20766	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 20657	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
LMHA 00142	HRA has_marker_component	HGNC 4027	HRA bn-7a93b51f74225ac26e721b5f0b4ec1
CL 0000669	HRA has_marker_component	HGNC 130	HRA bn-867d014440814f643ef7b690d01fefb4
CL 0000669	HRA has_marker_component	HGNC 7809	HRA bn-867d014440814f643ef7b690d01fefb4
CL 0002396	HRA has_marker_component	HGNC 6012	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 28874	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 7154	HRA bn-57b35b75e29d57656316a1a612bb63e3
